gene	topology_score	rwr_score	genetic_evidence_score	tractability	safety	n_safety_liabilities	composite_score	composite_breakdown	composite_weights
ENSG00000000004	3.4545454545454546	0.0768597871101634	0.92	discovery	has_liabilities	1	0.8340000000000001	topology=0.300|rwr=0.300|genetic_evidence=0.184|tractability=0.050|safety=0.000	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000002	2.6480446927374306	0.0716956816393437	0.98	clinical	has_liabilities	2	0.8045457763245735	topology=0.229|rwr=0.280|genetic_evidence=0.196|tractability=0.100|safety=0.000	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000003	2.6197183098591545	0.070285695013573	0.95	discovery	unknown	0	0.7904595393985401	topology=0.227|rwr=0.274|genetic_evidence=0.190|tractability=0.050|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000009	3.2522255192878338	0.0687794822827303	0.77	unknown	unknown	0	0.754140952721936	topology=0.282|rwr=0.268|genetic_evidence=0.154|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000005	2.561604584527221	0.0674640370316918	0.89	unknown	unknown	0	0.712151826210056	topology=0.221|rwr=0.263|genetic_evidence=0.178|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000006	2.531791907514451	0.066052308404291	0.86	unknown	unknown	0	0.6979278934520733	topology=0.219|rwr=0.257|genetic_evidence=0.172|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000007	2.0766613415216084	0.0409642319704894	0.83	unknown	unknown	0	0.5523499627397725	topology=0.179|rwr=0.158|genetic_evidence=0.166|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000008	2.065251143468592	0.0400304496570575	0.8	unknown	unknown	0	0.541641441755939	topology=0.178|rwr=0.154|genetic_evidence=0.160|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000010	2.041641624452649	0.0381609716839944	0.74	unknown	unknown	0	0.5201473710913134	topology=0.176|rwr=0.146|genetic_evidence=0.148|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000011	2.029423899589585	0.0372252064012486	0.71	unknown	unknown	0	0.5093599257694273	topology=0.175|rwr=0.143|genetic_evidence=0.142|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000013	1.3770491803278688	0.0321448393110872	0.45	unknown	unknown	0	0.3798000766395151	topology=0.117|rwr=0.123|genetic_evidence=0.090|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000020	0.946564885496183	0.0168483507182701	0.02	unknown	unknown	0	0.19523596004343158	topology=0.079|rwr=0.062|genetic_evidence=0.004|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000017	0.0609807503161444	0.0017106319958088	0.05	clinical	unknown	0	0.1632556539559994	topology=0.001|rwr=0.002|genetic_evidence=0.010|tractability=0.100|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000021	0.0684326710816777	0.0019420100087923	0.06	unknown	unknown	0	0.06682929889551079	topology=0.002|rwr=0.003|genetic_evidence=0.012|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000018	0.0532493558545662	0.0014767760080209	0.04	unknown	unknown	0	0.059647586408384516	topology=0.001|rwr=0.001|genetic_evidence=0.008|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
ENSG00000000019	0.0452224653537563	0.0012395128279232	0.03	unknown	unknown	0	0.056	topology=0.000|rwr=0.000|genetic_evidence=0.006|tractability=0.000|safety=0.050	topology:0.300,rwr:0.300,genetic_evidence:0.200,tractability:0.100,safety:0.100
